jockey_name,track_code,wins,win_pct,starts,surface,source_page,year
"Mojica, Jr., Rafael",ALL,31,10.9,284,,2083,2025
"Ordonez, Ronald R.",ALL,1,14.3,7,,2083,2025
"Molina, Maikol Matias",ALL,1,7.1,14,,2083,2025
"Orduna-Rojas, Francisco",ALL,5,8.3,60,,2083,2025
"Moncada, Irving",ALL,57,11.7,488,,2083,2025
"Orozco, Kevin E.",ALL,35,12.5,281,,2083,2025
"Mongan, Corey",ALL,1,3.6,28,,2083,2025
"Ortega, Cesar",ALL,7,10.3,68,,2083,2025
"Monroy, Francisco",ALL,12,8.1,148,,2083,2025
"Ortega, Harold Joseph",ALL,7,7.4,94,,2083,2025
"Monserrate, Jr., Jorge A.",ALL,0,0.0,8,,2083,2025
"Ortega, Javier O.",ALL,1,2.7,37,,2083,2025
"Montalvo, Carlos",ALL,25,8.9,282,,2083,2025
"Ortiz, Alvin",ALL,16,7.2,223,,2083,2025
"Montanez, Rosario",ALL,38,19.0,200,,2083,2025
"Montano, Jose",ALL,11,16.4,67,,2083,2025
"Ortiz, Joshua",ALL,5,4.6,108,,2083,2025
"Morales, Adrian X.",ALL,6,16.7,36,,2083,2025
"Ortiz, Yomar Orlando",ALL,9,6.3,142,,2083,2025
"Morales, Allyssa",ALL,13,6.9,189,,2083,2025
"Morales, Angel",ALL,0,0.0,42,,2083,2025
"Osborne, Saffie",ALL,0,0.0,2,,2083,2025
"Morales, Edgar",ALL,96,10.5,912,,2083,2025
"O’Sullivan, James",ALL,3,9.4,32,,2083,2025
"Morales, Joshua",ALL,4,7.4,54,,2083,2025
"Otero, Aarom",ALL,0,0.0,1,,2083,2025
"Morales, Pablo",ALL,110,20.8,530,,2083,2025
"Ouzts, Perry Wayne",ALL,43,16.2,266,,2083,2025
"Morales, Roberto",ALL,4,11.1,36,,2083,2025
"Owings, Brett",ALL,0,0.0,10,,2083,2025
"Morales, Silvino",ALL,17,17.7,96,,2083,2025
"Padilla, Anselmo",ALL,0,0.0,16,,2083,2025
"Moran, David",ALL,17,6.3,269,,2083,2025
"Padron-Barcenas, Javier",ALL,7,4.3,162,,2083,2025
"Moran, Pietro",ALL,140,16.2,863,,2083,2025
"Pagan, Michael Y.",ALL,40,16.7,239,,2083,2025
"Moreira, Joao",ALL,0,0.0,1,,2083,2025
"Painen Berrios, Rodrigo Andres",ALL,0,0.0,4,,2083,2025
"Morelos, Jose E.",ALL,109,12.4,881,,2083,2025
"Panaijo, Jorge",ALL,1,2.1,47,,2083,2025
"Moreno, Angel",ALL,1,8.3,12,,2083,2025
"Panici, Luca",ALL,41,8.8,465,,2083,2025
"Moreno, Cesar T.",ALL,0,0.0,2,,2083,2025
"Paredes, Jhovany",ALL,0,0.0,1,,2083,2025
"Moreno, Jairo",ALL,0,0.0,7,,2083,2025
"Parker, Deshawn L.",ALL,107,22.2,482,,2083,2025
"Moreno, Omar",ALL,4,9.8,41,,2083,2025
"Parris, Sachin",ALL,3,2.7,110,,2083,2025
"Morin, Ryan",ALL,1,12.5,8,,2083,2025
"Patterson, Javaniel R.",ALL,8,11.9,67,,2083,2025
"Mosqueira, Ismael Eluid",ALL,18,19.8,91,,2083,2025
"Paucar, Edgar",ALL,26,12.8,203,,2083,2025
"Moya, Ramon F.",ALL,16,6.6,244,,2083,2025
"Pauly, Summer",ALL,51,19.2,266,,2083,2025
"Mudd, Jamison",ALL,3,3.6,83,,2083,2025
"Payeras, Edgar",ALL,51,20.4,250,,2083,2025
"Muir, Shamaree",ALL,11,23.4,47,,2083,2025
"Payne, Dibaggio",ALL,0,0.0,5,,2083,2025
"Mullins, Danny",ALL,4,30.8,13,,2083,2025
"Pedroza, Jr., Marcelino",ALL,125,13.5,927,,2083,2025
"Mulqueen, Stephen",ALL,15,13.9,108,,2083,2025
"Peltroche, Elias",ALL,10,16.9,59,,2083,2025
"Munger, Ryan",ALL,78,14.5,538,,2083,2025
"Peltroche, Fredy",ALL,37,13.2,280,,2083,2025
"Munoz, Sergio",ALL,44,9.9,444,,2083,2025
"Pena, Brayan",ALL,5,7.7,65,,2083,2025
"Murgia, Antioco",ALL,34,10.8,316,,2083,2025
"Pena, Jonuelle",ALL,20,6.6,302,,2083,2025
"Muro, Oracio Isidro",ALL,0,0.0,25,,2083,2025
"Pena, Jose L.",ALL,3,11.5,26,,2083,2025
"Murphy, Cindy",ALL,2,8.7,23,,2083,2025
"Pena, Luis",ALL,8,8.0,100,,2083,2025
"Murphy, Oisin",ALL,1,6.7,15,,2083,2025
"Pena, Pedro",ALL,0,0.0,26,,2083,2025
"Murray, Erica M.",ALL,15,10.9,138,,2083,2025
"Pennington, Frankie",ALL,77,17.3,444,,2083,2025
"Murrill, Mitchell",ALL,109,13.7,794,,2083,2025
"Pereira, Tiago Josue",ALL,53,13.2,402,,2083,2025
"Murrufo, Maurisio",ALL,0,0.0,2,,2083,2025
"Perez, Amadeo",ALL,52,29.2,178,,2083,2025
"Mussad, David",ALL,0,0.0,12,,2083,2025
"Perez, Carlos",ALL,65,10.7,605,,2083,2025
"Natera, Keihton",ALL,39,16.2,240,,2083,2025
"Perez, Cesar",ALL,0,0.0,18,,2083,2025
"Nava-Marin, Jose",ALL,26,27.1,96,,2083,2025
"Perez, Edgar",ALL,46,8.2,559,,2083,2025
"Navarro, Christian J.",ALL,13,4.8,273,,2083,2025
"Perez, Francisco Escalera",ALL,0,0.0,9,,2083,2025
"Navarro, Kevin",ALL,59,18.8,313,,2083,2025
"Perez, Jose Angel",ALL,0,0.0,30,,2083,2025
"Navas, Yoel",ALL,0,0.0,5,,2083,2025
"Perez, Luis E.",ALL,80,17.3,462,,2083,2025
"Negron, Juan C.",ALL,0,0.0,13,,2083,2025
"Perez, Miguel A.",ALL,48,17.0,283,,2083,2025
"Negron, Luis",ALL,120,18.1,663,,2083,2025
"Perez, Roberto A.",ALL,11,4.6,239,,2083,2025
"Nelson, Dane",ALL,49,20.9,235,,2083,2025
"Perez, Xavier",ALL,40,11.2,356,,2083,2025
"Nelson, Leroy",ALL,0,0.0,2,,2083,2025
"Perovic, Dorde",ALL,0,0.0,7,,2083,2025
"Nelson, Ryan",ALL,1,2.6,38,,2083,2025
"Peterson, Ferrin",ALL,4,7.4,54,,2083,2025
"Nelson, Tyrone",ALL,0,0.0,4,,2083,2025
"Pickner, Xavier",ALL,3,3.3,92,,2083,2025
"Nevin, Dan",ALL,14,17.5,80,,2083,2025
"Pilares, Christian P.",ALL,11,15.9,69,,2083,2025
"Newell, Howard F.",ALL,0,0.0,11,,2083,2025
"Pilares, Yak",ALL,0,0.0,1,,2083,2025
"Nicholls, Keveh",ALL,42,11.2,375,,2083,2025
"Pimentel, Jr., Ivan",ALL,2,7.1,28,,2083,2025
"Nicholls, Mia",ALL,4,7.8,51,,2083,2025
"Pinkard, Casey",ALL,0,0.0,2,,2083,2025
"Nieves, Emanuel",ALL,89,14.7,604,,2083,2025
"Pinto, Melanie",ALL,17,18.1,94,,2083,2025
"Nugent, O’Shane",ALL,7,16.7,42,,2083,2025
"Pompell, Thomas L.",ALL,64,13.7,467,,2083,2025
"Nunez, Anthony Y.",ALL,28,12.5,224,,2083,2025
"Poon, Andrew",ALL,21,33.3,63,,2083,2025
"Nunez, Juan Mauricio",ALL,37,10.0,370,,2083,2025
"Poretz, Eric",ALL,0,0.0,42,,2083,2025
"Nunnally, Blake",ALL,55,12.5,439,,2083,2025
"Poston, Amanda K.",ALL,6,8.6,70,,2083,2025
"O’Brien, Sophie",ALL,3,37.5,8,,2083,2025
"Pottinger, Michael",ALL,0,0.0,5,,2083,2025
"Ocasio, Jonathan",ALL,39,9.6,407,,2083,2025
"Powell, Andre",ALL,16,15.2,105,,2083,2025
"Ocasio, Luis M.",ALL,39,8.1,482,,2083,2025
"Powell, Kuri",ALL,5,16.7,30,,2083,2025
"Ochoa, Alejandro",ALL,0,0.0,7,,2083,2025
"O’Hanlon, Paddy",ALL,0,0.0,5,,2083,2025
"Prescod, N’Rico",ALL,32,15.5,207,,2083,2025
"Olague, Fernando J.",ALL,1,6.2,16,,2083,2025
"Prescott, Rodney A.",ALL,26,10.2,255,,2083,2025
"Oliveros, Charle",ALL,52,12.7,409,,2083,2025
"Procter, Freddie",ALL,15,15.2,99,,2083,2025
"Olivo, Jose Juan",ALL,0,0.0,1,,2083,2025
"Pruitt, Ciera",ALL,12,9.8,123,,2083,2025
"Purcell, Kelsi",ALL,13,13.0,100,,2084,2025
"Rodriguez, Walter A.",ALL,100,18.1,551,,2084,2025
"Pusac, Alberto",ALL,64,12.4,517,,2084,2025
"Rodriguez, Yan",ALL,38,9.6,397,,2084,2025
"Pyle, William",ALL,1,50.0,2,,2084,2025
"Rodriquez, Jario",ALL,0,0.0,2,,2084,2025
"Quinn, Deirdre A.",ALL,0,0.0,8,,2084,2025
"Rohena, J. M.",ALL,17,15.2,112,,2084,2025
"Quinonez, Alonso",ALL,64,16.2,395,,2084,2025
"Rohena, Jr., Rafael",ALL,8,5.8,138,,2084,2025
"Quinonez, Belen",ALL,58,14.3,407,,2084,2025
"Rojas, Carlos Eduardo",ALL,2,5.0,40,,2084,2025
"Quinonez, Luis S.",ALL,29,10.2,283,,2084,2025
"Rojas, Fernando Orduno",ALL,0,0.0,1,,2084,2025
"Quinonez-Lopez, Osvaldo",ALL,1,4.8,21,,2084,2025
"Rojas, Martina",ALL,53,12.1,438,,2084,2025
"Rabadan, Gerardo",ALL,0,0.0,1,,2084,2025
"Rojas, Renzo",ALL,10,5.8,172,,2084,2025
"Radcliffe, Anthony",ALL,17,9.0,189,,2084,2025
"Rojas Fernandez, Eduard Kennis",ALL,10,10.4,96,,2084,2025
"Radosevich, Joshua J.",ALL,5,23.8,21,,2084,2025
"Roman, Constantino",ALL,47,14.7,319,,2084,2025
"Ramey, Cash",ALL,15,10.4,144,,2084,2025
"Roman, Evin A.",ALL,57,9.9,575,,2084,2025
"Ramgeet, Andre R.",ALL,2,2.5,81,,2084,2025
"Roman, Kevin",ALL,151,16.3,924,,2084,2025
"Ramgeet, Andrew R.",ALL,21,12.3,171,,2084,2025
"Romero, Joseph M.",ALL,18,7.6,237,,2084,2025
"Ramirez, Francisco J.",ALL,13,13.5,96,,2084,2025
"Romero, Roman",ALL,0,0.0,2,,2084,2025
"Ramirez, Paulina",ALL,18,8.7,207,,2084,2025
"Rosado, Johan",ALL,22,9.0,244,,2084,2025
"Ramirez, Ricardo S.",ALL,25,16.7,150,,2084,2025
"Rosales Gallegos, Juan",ALL,0,0.0,1,,2084,2025
"Ramirez, Jr., Julio",ALL,38,6.0,637,,2084,2025
"Rosario, Joel",ALL,104,14.8,703,,2084,2025
"Ramos, Adrian B.",ALL,45,14.2,318,,2084,2025
"Rosario, Jr., Hector L.",ALL,0,0.0,1,,2084,2025
"Ramos, Christian",ALL,40,18.4,217,,2084,2025
"Rosendo, Irwin J.",ALL,29,9.6,302,,2084,2025
"Ramos, Jatniel",ALL,1,20.0,5,,2084,2025
"Rosier, Chris R.",ALL,17,7.8,218,,2084,2025
"Ramos, Joseph D.",ALL,158,17.2,917,,2084,2025
"Rowland, Madeline",ALL,12,10.6,113,,2084,2025
"Ramos, Manuel",ALL,0,0.0,1,,2084,2025
"Ruiz, Efigenio Garcia",ALL,7,13.7,51,,2084,2025
"Ramos, Yabriel O.",ALL,67,12.8,522,,2084,2025
"Ruiz, Eliseo",ALL,78,13.3,588,,2084,2025
"Ramsammy, Emile",ALL,0,0.0,3,,2084,2025
"Ruiz, Jorge",ALL,116,15.5,746,,2084,2025
"Rangel, Joezer",ALL,25,11.1,225,,2084,2025
"Russell, Chris",ALL,5,5.4,93,,2084,2025
"Rea, Hunter",ALL,3,6.4,47,,2084,2025
"Russell, Sheldon",ALL,108,26.2,412,,2084,2025
"Rengifo, Johan",ALL,19,6.2,308,,2084,2025
"Ryan, Gavin",ALL,0,0.0,1,,2084,2025
"Requena, Pedro",ALL,0,0.0,9,,2084,2025
"Ryan, Rossa",ALL,0,0.0,2,,2084,2025
"Reyes, Antonio Ambrosio",ALL,23,16.8,137,,2084,2025
"Saez, Gabriel",ALL,42,7.3,576,,2084,2025
"Reyes, Cristian",ALL,0,0.0,7,,2084,2025
"Reyes, Frank",ALL,35,10.5,333,,2084,2025
"Saez, Sebastian",ALL,0,0.0,13,,2084,2025
"Reyes, Leonel",ALL,100,13.0,771,,2084,2025
"Sakai, Ryusei",ALL,1,33.3,3,,2084,2025
"Reyes, Luis R.",ALL,19,6.6,290,,2084,2025
"Salazar, Teresa",ALL,3,6.0,50,,2084,2025
"Reynolds, Larry C.",ALL,30,16.4,183,,2084,2025
"Salazar Becerra, Fernando",ALL,113,16.8,672,,2084,2025
"Richard, Ronald",ALL,0,0.0,14,,2084,2025
"Salgado, Anthony",ALL,24,11.9,202,,2084,2025
"Rios, Jesus M.",ALL,26,11.2,233,,2084,2025
"Salles, Leo",ALL,54,10.5,516,,2084,2025
"Rios-Conde, Alexis",ALL,0,0.0,28,,2084,2025
"Samuel, Jalon L.",ALL,25,11.5,217,,2084,2025
"Rios-Conde, Jr., Alexis",ALL,4,4.5,88,,2084,2025
"Samuels, Jake",ALL,23,25.0,92,,2084,2025
"Riquelme, Jose",ALL,8,4.7,172,,2084,2025
"Samuels, Kassie",ALL,0,0.0,5,,2084,2025
"Rispoli, Umberto",ALL,129,21.7,594,,2084,2025
"Sanchez, Alexis",ALL,10,9.5,105,,2084,2025
"Rivas, Juan Carlos",ALL,2,5.0,40,,2084,2025
"Sanchez, Diego",ALL,0,0.0,3,,2084,2025
"Rivera, Dalila A.",ALL,6,5.7,105,,2084,2025
"Sanchez, Jose Luis",ALL,0,0.0,1,,2084,2025
"Rivera, Javier",ALL,16,10.1,159,,2084,2025
"Sanchez, Lexander",ALL,5,7.2,69,,2084,2025
"Rivera, Kendry",ALL,29,12.9,225,,2084,2025
"Rivera, Luis D.",ALL,41,11.9,345,,2084,2025
"Sanchez, Obed",ALL,40,8.8,456,,2084,2025
"Rivera, Luis Raul",ALL,112,18.5,607,,2084,2025
"Sanchez, Richi",ALL,0,0.0,3,,2084,2025
"Rivera, Santos",ALL,24,5.6,430,,2084,2025
"Sandoval, Alexi",ALL,0,0.0,3,,2084,2025
"Rivera, Jr., Luis R.",ALL,46,8.8,521,,2084,2025
"Sanjur, Santo",ALL,49,8.4,582,,2084,2025
"Robles, Ederik O.",ALL,0,0.0,19,,2084,2025
"Santaella, Moises",ALL,30,15.5,193,,2084,2025
"Rocco, Jr., Joseph",ALL,14,11.9,118,,2084,2025
"Rocha, Jose O.",ALL,17,13.5,126,,2084,2025
"Santiago, Eddie",ALL,0,0.0,5,,2084,2025
"Rodriguez, Anardis",ALL,2,66.7,3,,2084,2025
"Santiago, Edward",ALL,21,6.9,303,,2084,2025
"Rodriguez, Angel A.",ALL,6,10.9,55,,2084,2025
"Santiago, Victor",ALL,12,6.5,186,,2084,2025
"Rodriguez, Angel R.",ALL,126,23.9,527,,2084,2025
"Santiago, Wilfredo",ALL,3,5.9,51,,2084,2025
"Rodriguez, Anthony",ALL,32,10.8,295,,2084,2025
"Santo, Kimal",ALL,42,22.7,185,,2084,2025
"Rodriguez, Darwin L.",ALL,4,11.4,35,,2084,2025
"Santos, Ademar",ALL,111,17.2,644,,2084,2025
"Rodriguez, Filemon T",ALL,1,5.3,19,,2084,2025
"Sasaki, Daisuke",ALL,0,0.0,1,,2084,2025
"Rodriguez, Guillermo",ALL,87,14.0,622,,2084,2025
"Scampton, Brittany",ALL,0,0.0,38,,2084,2025
"Rodriguez, Israel O.",ALL,81,16.4,494,,2084,2025
"Schweizer, Whitney",ALL,0,0.0,4,,2084,2025
"Rodriguez, Jaime",ALL,189,19.0,993,,2084,2025
"Scully, Elizabeth",ALL,1,10.0,10,,2084,2025
"Rodriguez, Jairo",ALL,7,12.1,58,,2084,2025
"Seecharan, Learie C.",ALL,6,8.7,69,,2084,2025
"Rodriguez, Johariel A.",ALL,2,4.9,41,,2084,2025
"Seecharan, Lenny A.",ALL,9,11.0,82,,2084,2025
"Rodriguez, Jose Elias",ALL,29,19.0,153,,2084,2025
"Seestheground, Kobe",ALL,0,0.0,10,,2084,2025
"Rodriguez, Jose L.",ALL,0,0.0,5,,2084,2025
"Serpa, Angel",ALL,9,5.7,158,,2084,2025
"Rodriguez, Jose Luis",ALL,70,12.0,582,,2084,2025
"Serrano, Keivan",ALL,13,12.5,104,,2084,2025
"Rodriguez, Jose",ALL,0,0.0,20,,2084,2025
"Severino, Victor",ALL,19,11.6,164,,2084,2025
"Rodriguez, Juan C.",ALL,1,3.3,30,,2084,2025
"Sevilla, Rigoberto",ALL,0,0.0,2,,2084,2025
"Rodriguez, Julio Alberto",ALL,0,0.0,5,,2084,2025
"Sheehy, Danny",ALL,15,9.8,153,,2084,2025
"Rodriguez, Luis Ramon",ALL,10,4.9,204,,2084,2025
"Sherman, Alexandra",ALL,5,6.6,76,,2084,2025
"Rodriguez, Ronaldo",ALL,7,20.0,35,,2084,2025
"Shoemark, Kieran",ALL,0,0.0,1,,2084,2025
"Rodriguez, Victor",ALL,52,12.4,420,,2084,2025
"Sigala, Alfredo",ALL,4,3.5,113,,2084,2025
"Rodriguez, Victor Samuel Paraguacuto",ALL,5,10.0,50,,2084,2025
"Silvera, Ruben",ALL,118,12.2,964,,2084,2025
"Simpson, Jason",ALL,10,5.3,188,,2085,2025
"Van Dyke, Drayden",ALL,9,8.1,111,,2085,2025
"Simpson, Javour M.",ALL,12,10.8,111,,2085,2025
"Vandermeersch, Amanda",ALL,21,12.9,163,,2085,2025
"Simpson, Omar",ALL,1,8.3,12,,2085,2025
"Vanek, Helen Marie",ALL,0,0.0,5,,2085,2025
"Simpson, Trevor",ALL,32,25.2,127,,2085,2025
"Vargas, Jorge L.",ALL,0,0.0,1,,2085,2025
"Singh, Rohan R.",ALL,7,9.6,73,,2085,2025
"Vargas, Jose E.",ALL,18,6.9,261,,2085,2025
"Singh, Sunny",ALL,2,66.7,3,,2085,2025
"Vargas, Juan P",ALL,72,10.2,707,,2085,2025
"Slevinsky, Rachel",ALL,1,20.0,5,,2085,2025
"Vargas, Salvador R",ALL,16,21.9,73,,2085,2025
"Smith, Clyde Henry",ALL,0,0.0,1,,2085,2025
"Vargas, Wilson Esteban",ALL,0,0.0,3,,2085,2025
"Smith, Diogdinabi",ALL,2,3.5,57,,2085,2025
"Vargas, Jr., Jorge A.",ALL,57,16.7,341,,2085,2025
"Smith, Mike E.",ALL,25,12.5,200,,2085,2025
"Vasquez, Carmen",ALL,0,0.0,6,,2085,2025
"Smith, Taylor E.",ALL,12,14.1,85,,2085,2025
"Vasquez, Jose",ALL,0,0.0,6,,2085,2025
"Solis, Edward",ALL,0,0.0,2,,2085,2025
"Vasquez, Miguel Angel",ALL,159,15.9,998,,2085,2025
"Sosa, Laureano",ALL,41,18.3,224,,2085,2025
"Vasquez, Wilfred",ALL,13,8.8,147,,2085,2025
"Soumillon, Christophe",ALL,1,20.0,5,,2085,2025
"Vazquez, Carmen Barrionuevo",ALL,0,0.0,9,,2085,2025
"Spanabel, Skyler",ALL,2,4.3,47,,2085,2025
"Vazquez, Gian L.",ALL,0,0.0,10,,2085,2025
"Spieth, Scott",ALL,47,17.6,267,,2085,2025
"Vazquez, Jose Miguel",ALL,19,6.3,301,,2085,2025
"Stanley, Angel Ortega",ALL,0,0.0,30,,2085,2025
"Vazquez, Ramon A.",ALL,181,20.7,876,,2085,2025
"Steadman, Linton Leon",ALL,8,10.4,77,,2085,2025
"Vega, Jose L",ALL,5,7.8,64,,2085,2025
"Stephenson, Neville",ALL,23,11.0,209,,2085,2025
"Velazquez, John R.",ALL,117,15.0,778,,2085,2025
"Stewart, Blandford",ALL,3,11.5,26,,2085,2025
"Ventura, Jose",ALL,1,5.6,18,,2085,2025
"Stillion, Brooke",ALL,0,0.0,1,,2085,2025
"Vera, Eliazar T.",ALL,6,19.4,31,,2085,2025
"Stokes, Joe",ALL,62,11.3,550,,2085,2025
"Vera, Gerardo",ALL,0,0.0,13,,2085,2025
"Suarez, Angel",ALL,3,5.8,52,,2085,2025
"Vergara, Daniel P.",ALL,37,13.8,269,,2085,2025
"Suarez, Jesus",ALL,3,11.5,26,,2085,2025
"Vigil, Noel",ALL,35,13.2,265,,2085,2025
"Sullivan, Ben",ALL,0,0.0,2,,2085,2025
"Vilchez, Maikol",ALL,12,6.9,174,,2085,2025
"Sutherland, Chantal",ALL,12,15.0,80,,2085,2025
"Villa, Oscar",ALL,0,0.0,2,,2085,2025
"Swan, Kirsten",ALL,0,0.0,20,,2085,2025
"Villa Pino, Favinho",ALL,3,2.9,104,,2085,2025
"Taboada Flores, Limber",ALL,7,5.4,129,,2085,2025
"Villa-Gomez, Huber",ALL,26,12.1,214,,2085,2025
"Tapara, Brandon",ALL,70,16.4,427,,2085,2025
"Villalobos, Ismerio",ALL,56,14.1,396,,2085,2025
"Tapara, Luis",ALL,24,9.1,264,,2085,2025
"Villaobos Gonzalez, Frank D.",ALL,0,0.0,14,,2085,2025
"Tavares, Daniel",ALL,0,0.0,4,,2085,2025
"Villarreal, Oscar",ALL,65,12.3,528,,2085,2025
"Tavares, Javier",ALL,39,11.1,352,,2085,2025
"Villasmil, Edgar",ALL,1,3.6,28,,2085,2025
"Teeter, Nakia",ALL,17,15.0,113,,2085,2025
"Villegas, Jerry",ALL,0,0.0,6,,2085,2025
"Terraza, German",ALL,7,4.6,152,,2085,2025
"Virgen, Jesus",ALL,3,5.9,51,,2085,2025
"Thomas, Anthony",ALL,3,7.5,40,,2085,2025
"Vivanco, Luis L.",ALL,3,21.4,14,,2085,2025
"Thornton, Timothy",ALL,163,21.2,768,,2085,2025
"Vives, Sofia",ALL,76,15.4,494,,2085,2025
"Thorpe, Darius",ALL,10,11.1,90,,2085,2025
"Vorrath, Valente",ALL,0,0.0,14,,2085,2025
"Tierney, Conor",ALL,10,13.7,73,,2085,2025
"Wade, Lindey",ALL,23,10.6,216,,2085,2025
"Timentwa, Talliyah",ALL,7,7.4,94,,2085,2025
"Walcott, Rico W",ALL,11,11.5,96,,2085,2025
"Todd, Charlie",ALL,0,0.0,6,,2085,2025
"Wales, Travis",ALL,47,17.3,272,,2085,2025
"Tohill, Ken S.",ALL,70,15.4,455,,2085,2025
"Ward, Affrie",ALL,3,13.0,23,,2085,2025
"Toledo, Jevian",ALL,99,14.8,668,,2085,2025
"Watters, Graham",ALL,28,27.7,101,,2085,2025
"Toledo, Joam S.",ALL,18,8.7,206,,2085,2025
"Weatherly, Bailey",ALL,49,9.6,509,,2085,2025
"Tomita, Akatsuki",ALL,3,5.8,52,,2085,2025
"Wellington, Kylie",ALL,13,12.0,108,,2085,2025
"Toro, Jose M.",ALL,0,0.0,9,,2085,2025
"Wethey Jr., Floyd",ALL,119,15.6,765,,2085,2025
"Torrealba, J.G.",ALL,79,14.8,534,,2085,2025
"Whitacre, Brandon",ALL,76,21.7,351,,2085,2025
"Torrealba, Jose Luis",ALL,0,0.0,2,,2085,2025
"Whitacre, Grant",ALL,13,16.5,79,,2085,2025
"Torres, Bryan L.",ALL,30,10.2,295,,2085,2025
"Whitaker, Jennifer",ALL,1,7.7,13,,2085,2025
"Torres, Cristian A.",ALL,93,11.6,804,,2085,2025
"Whitehall, Antonio",ALL,51,21.6,236,,2085,2025
"Torres, Daniel Antonio",ALL,1,50.0,2,,2085,2025
"Williams, Ajhari",ALL,26,9.2,284,,2085,2025
"Torres, Hugo",ALL,1,2.4,41,,2085,2025
"Williams, Betty Jo",ALL,7,15.6,45,,2085,2025
"Torres, Jaime A.",ALL,93,11.9,779,,2085,2025
"Williams, Scott",ALL,30,21.1,142,,2085,2025
"Torres, Jomar",ALL,84,16.5,508,,2085,2025
"Wilson, Emma-Jayne",ALL,12,9.5,126,,2085,2025
"Torres, Jose L.",ALL,10,7.6,131,,2085,2025
"Wiseman, Isaiah",ALL,45,8.0,560,,2085,2025
"Torres, Raymond",ALL,2,5.4,37,,2085,2025
"Wolff, Calvin S.",ALL,1,12.5,8,,2085,2025
"Torres, Yolber",ALL,59,11.3,521,,2085,2025
"Wolfsont, Andrew",ALL,41,14.4,285,,2085,2025
"Townsend, Shavon",ALL,20,16.1,124,,2085,2025
"Wood, Dakota",ALL,39,35.1,111,,2085,2025
"Trejos, Joseph",ALL,15,7.6,198,,2085,2025
"Woodson, Michael",ALL,0,0.0,2,,2085,2025
"Triana, Jr., Alfredo",ALL,102,13.0,782,,2085,2025
"Worrell, Jeremiah",ALL,0,0.0,3,,2085,2025
"Trotman, Keimar",ALL,23,13.6,169,,2085,2025
"Worrie, Andre Shivnarine",ALL,100,19.2,522,,2085,2025
"Troxtell, Brittany",ALL,4,5.3,76,,2085,2025
"Wyatt, James",ALL,0,0.0,3,,2085,2025
"Tunon, Jordano",ALL,11,9.3,118,,2085,2025
"Yancapallo Gomocio, Shirley Esther",ALL,8,8.3,96,,2085,2025
"Turrieta, Sergio A.",ALL,0,0.0,3,,2085,2025
"Yaranga, Yuri",ALL,36,11.5,314,,2085,2025
"Ulloa, Andres P.",ALL,14,9.2,153,,2085,2025
"Yupanqui, Edgar Y.",ALL,0,0.0,2,,2085,2025
"Ulloa, Carlos Joan",ALL,12,8.4,143,,2085,2025
"Zabala, Emanuel Castillo",ALL,7,4.3,161,,2085,2025
"Urdaneta, Jorge J.",ALL,3,12.5,24,,2085,2025
"Zambrana, Jadiel",ALL,17,8.3,205,,2085,2025
"Urieta, Jr., Victor Manuel",ALL,4,25.0,16,,2085,2025
"Zavala, Julian",ALL,1,6.2,16,,2085,2025
"Valdez, Felipe",ALL,14,8.2,170,,2085,2025
"Valdez-Jiminez, Ernesto",ALL,74,10.7,689,,2085,2025
"Zenteno, Edgar",ALL,27,16.5,164,,2085,2025
"Valdivia, Jr., Jose",ALL,5,7.0,71,,2085,2025
"Zenteno Jr., Rafael",ALL,8,16.7,48,,2085,2025
"Valenzuela, Luis A.",ALL,104,18.5,562,,2085,2025
"Zerpa, Jose",ALL,1,25.0,4,,2085,2025
"Valenzuela, Jr., John Raul",ALL,0,0.0,5,,2085,2025
"Zonett, Keyner",ALL,2,7.1,28,,2085,2025
"Vallejo, Miguel R.",ALL,0,0.0,1,,2085,2025
"Zuniga, Alejandro Landeros",ALL,0,0.0,2,,2085,2025
